game,year,day,total_jp_size,total_jp_sales
Lottario,2014,24,354791.04938271607,95.50123456790124
Lottario,2014,25,355183.71212121216,92.29027777777777
Lottario,2014,26,366854.25925925927,97.86259259259259
Lottario,2014,27,367212.07912457915,92.03968855218855
Lottario,2014,28,376467.7890011223,104.64654882154882
Lottario,2014,29,387885.0729517396,101.62996632996634
Lottario,2014,30,404447.22222222225,89.14497474747475
Lottario,2014,31,372857.14285714284,116.56190476190476
Lottario,2015,1,572466.835016835,93.37703703703704
Lottario,2015,2,579464.8148148148,120.50703703703704
Lottario,2015,3,588602.6936026936,112.34806397306397
Lottario,2015,4,491135.18518518517,124.5887037037037
Lottario,2015,5,391981.4814814815,98.34814814814814
Lottario,2015,6,427679.29292929295,107.9922558922559
Lottario,2015,7,433787.0370370371,104.64197530864197
Lottario,2015,8,451666.6666666667,94.31851851851852
Lottario,2015,9,459166.6666666667,110.40925925925926
Lottario,2015,10,468333.3333333333,115.02777777777777
Lottario,2015,11,476481.4814814815,124.41001683501683
Lottario,2015,12,477668.77104377106,104.15387205387205
Lottario,2015,13,451030.30303030304,117.53989898989899
Lottario,2015,14,460000,116.1675925925926
Lottario,2015,15,496407.4074074074,96.66341189674523
Lottario,2015,16,506469.36026936024,108.29611111111112
Lottario,2015,17,476360.26936026936,115.46708754208754
Lottario,2015,18,486905.72390572395,119.21245791245791
Lottario,2015,19,489317.34006734006,107.29680134680135
Lottario,2015,20,503398.14814814815,118.03194444444445
Lottario,2015,21,514754.6296296296,115.22916666666667
Lottario,2015,22,506802.4691358025,99.21944444444445
Lottario,2015,23,516666.6666666667,113.13796296296296
Lottario,2015,24,516700.3367003367,122.08947811447811
Lottario,2015,25,481812.62626262626,110.20597643097643
Lottario,2015,26,495937.1492704826,106.34234006734006
Lottario,2015,27,506487.37373737374,119.74267676767677
Lottario,2015,28,517037.0370370371,119.00907407407408
Lottario,2015,29,550000,101.60606060606061
Lottario,2015,30,562908.0808080807,121.72242424242424
Lottario,2015,31,466113.75661375665,130.00555555555556
